code,name,year,gcse
E06000001,hartlepool,2009,49.6
E06000002,middlesbrough,2009,44.2
E06000003,redcar and cleveland,2009,53.2
E06000004,stockton-on-tees,2009,52.9
E06000005,darlington,2009,54.7
E06000006,halton,2009,50.1
E06000007,warrington,2009,61.3
E06000008,blackburn with darwen,2009,51.9
E06000009,blackpool,2009,47.8
E06000010,"kingston upon hull, city of",2009,42.3
E06000011,east riding of yorkshire,2009,58.6
E06000012,north east lincolnshire,2009,54.2
E06000013,north lincolnshire,2009,51.5
E06000014,york,2009,59.1
E06000015,derby,2009,55.1
E06000016,leicester,2009,48.9
E06000017,rutland,2009,61.4
E06000018,nottingham,2009,44.2
E06000019,"herefordshire, county of",2009,56.0
E06000020,telford and wrekin,2009,55.9
E06000021,stoke-on-trent,2009,48.4
E06000022,bath and north east somerset,2009,61.0
E06000023,"bristol, city of",2009,46.2
E06000024,north somerset,2009,56.1
E06000025,south gloucestershire,2009,56.0
E06000026,plymouth,2009,54.2
E06000027,torbay,2009,54.1
E06000028,bournemouth,2009,56.5
E06000029,poole,2009,55.3
E06000030,swindon,2009,49.9
E06000031,peterborough,2009,45.5
E06000032,luton,2009,52.2
E06000033,southend-on-sea,2009,61.8
E06000034,thurrock,2009,56.8
E06000035,medway,2009,53.6
E06000036,bracknell forest,2009,56.9
E06000037,west berkshire,2009,60.7
E06000038,reading,2009,54.7
E06000039,slough,2009,63.1
E06000040,windsor and maidenhead,2009,63.6
E06000041,wokingham,2009,65.6
E06000042,milton keynes,2009,51.5
E06000043,brighton and hove,2009,49.1
E06000044,portsmouth,2009,42.8
E06000045,southampton,2009,47.5
E06000046,isle of wight,2009,45.5
E06000047,county durham,2009,55.8
E06000048,northumberland,2009,54.0
E06000049,cheshire east,2009,62.5
E06000050,cheshire west and chester,2009,56.4
E06000051,shropshire,2009,57.8
E06000052,cornwall,2009,53.8
E06000053,isles of scilly,2009,68.2
E06000054,wiltshire,2009,55.8
E06000055,bedford,2009,50.8
E06000056,central bedfordshire,2009,54.2
E08000001,bolton,2009,53.2
E08000002,bury,2009,62.1
E08000003,manchester,2009,45.7
E08000004,oldham,2009,51.9
E08000005,rochdale,2009,51.4
E08000006,salford,2009,49.8
E08000007,stockport,2009,61.9
E08000008,tameside,2009,49.7
E08000009,trafford,2009,68.5
E08000010,wigan,2009,56.0
E08000011,knowsley,2009,38.0
E08000012,liverpool,2009,53.0
E08000013,st. helens,2009,52.8
E08000014,sefton,2009,55.8
E08000015,wirral,2009,58.7
E08000016,barnsley,2009,40.2
E08000017,doncaster,2009,51.4
E08000018,rotherham,2009,50.8
E08000019,sheffield,2009,49.2
E08000020,gateshead,2009,54.2
E08000021,newcastle upon tyne,2009,49.5
E08000022,north tyneside,2009,53.1
E08000023,south tyneside,2009,53.9
E08000024,sunderland,2009,52.6
E08000025,birmingham,2009,54.9
E08000026,coventry,2009,51.7
E08000027,dudley,2009,56.4
E08000028,sandwell,2009,43.6
E08000029,solihull,2009,60.1
E08000030,walsall,2009,49.5
E08000031,wolverhampton,2009,52.1
E08000032,bradford,2009,44.4
E08000033,calderdale,2009,54.5
E08000034,kirklees,2009,52.8
E08000035,leeds,2009,50.6
E08000036,wakefield,2009,55.8
E09000002,barking and dagenham,2009,51.6
E09000003,barnet,2009,67.3
E09000004,bexley,2009,59.8
E09000005,brent,2009,60.1
E09000006,bromley,2009,65.1
E09000007,camden,2009,53.1
E09000008,croydon,2009,54.4
E09000009,ealing,2009,58.7
E09000010,enfield,2009,55.3
E09000011,greenwich,2009,50.1
E09000012,hackney,2009,55.3
E09000013,hammersmith and fulham,2009,68.2
E09000014,haringey,2009,48.0
E09000015,harrow,2009,60.7
E09000016,havering,2009,62.3
E09000017,hillingdon,2009,55.8
E09000018,hounslow,2009,58.7
E09000019,islington,2009,50.0
E09000020,kensington and chelsea,2009,71.3
E09000021,kingston upon thames,2009,68.7
E09000022,lambeth,2009,53.0
E09000023,lewisham,2009,48.0
E09000024,merton,2009,52.4
E09000025,newham,2009,52.1
E09000026,redbridge,2009,69.3
E09000027,richmond upon thames,2009,61.4
E09000028,southwark,2009,56.1
E09000029,sutton,2009,70.6
E09000030,tower hamlets,2009,51.8
E09000031,waltham forest,2009,50.9
E09000032,wandsworth,2009,58.1
E09000033,westminster,2009,62.5
E10000002,buckinghamshire,2009,66.9
E10000003,cambridgeshire,2009,58.9
E10000006,cumbria,2009,55.8
E10000007,derbyshire,2009,55.0
E10000008,devon,2009,54.7
E10000009,dorset,2009,59.4
E10000011,east sussex,2009,55.4
E10000012,essex,2009,54.6
E10000013,gloucestershire,2009,60.1
E10000014,hampshire,2009,58.9
E10000015,hertfordshire,2009,64.1
E10000016,kent,2009,56.8
E10000017,lancashire,2009,56.7
E10000018,leicestershire,2009,55.3
E10000019,lincolnshire,2009,59.2
E10000020,norfolk,2009,52.3
E10000021,northamptonshire,2009,51.9
E10000023,north yorkshire,2009,61.6
E10000024,nottinghamshire,2009,51.4
E10000025,oxfordshire,2009,57.3
E10000027,somerset,2009,54.0
E10000028,staffordshire,2009,54.0
E10000029,suffolk,2009,51.8
E10000030,surrey,2009,62.0
E10000031,warwickshire,2009,58.9
E10000032,west sussex,2009,55.3
E10000034,worcestershire,2009,54.9
E06000001,hartlepool,2010,56.4
E06000002,middlesbrough,2010,40.9
E06000003,redcar and cleveland,2010,55.0
E06000004,stockton-on-tees,2010,57.3
E06000005,darlington,2010,65.7
E06000006,halton,2010,56.3
E06000007,warrington,2010,64.3
E06000008,blackburn with darwen,2010,56.9
E06000009,blackpool,2010,46.2
E06000010,"kingston upon hull, city of",2010,46.3
E06000011,east riding of yorkshire,2010,55.4
E06000012,north east lincolnshire,2010,54.2
E06000013,north lincolnshire,2010,52.4
E06000014,york,2010,62.1
E06000015,derby,2010,56.9
E06000016,leicester,2010,52.1
E06000017,rutland,2010,60.8
E06000018,nottingham,2010,46.7
E06000019,"herefordshire, county of",2010,57.5
E06000020,telford and wrekin,2010,57.9
E06000021,stoke-on-trent,2010,48.2
E06000022,bath and north east somerset,2010,64.2
E06000023,"bristol, city of",2010,50.2
E06000024,north somerset,2010,57.5
E06000025,south gloucestershire,2010,55.5
E06000026,plymouth,2010,56.8
E06000027,torbay,2010,57.2
E06000028,bournemouth,2010,57.4
E06000029,poole,2010,57.2
E06000030,swindon,2010,52.4
E06000031,peterborough,2010,49.4
E06000032,luton,2010,56.7
E06000033,southend-on-sea,2010,65.0
E06000034,thurrock,2010,60.1
E06000035,medway,2010,55.7
E06000036,bracknell forest,2010,59.7
E06000037,west berkshire,2010,60.1
E06000038,reading,2010,55.9
E06000039,slough,2010,68.1
E06000040,windsor and maidenhead,2010,63.3
E06000041,wokingham,2010,67.6
E06000042,milton keynes,2010,52.1
E06000043,brighton and hove,2010,52.8
E06000044,portsmouth,2010,45.5
E06000045,southampton,2010,51.7
E06000046,isle of wight,2010,49.1
E06000047,county durham,2010,60.0
E06000048,northumberland,2010,57.7
E06000049,cheshire east,2010,64.4
E06000050,cheshire west and chester,2010,59.5
E06000051,shropshire,2010,60.0
E06000052,cornwall,2010,55.0
E06000053,isles of scilly,2010,68.4
E06000054,wiltshire,2010,60.5
E06000055,bedford,2010,56.2
E06000056,central bedfordshire,2010,59.4
E08000001,bolton,2010,59.6
E08000002,bury,2010,62.8
E08000003,manchester,2010,51.8
E08000004,oldham,2010,56.1
E08000005,rochdale,2010,53.5
E08000006,salford,2010,52.9
E08000007,stockport,2010,64.6
E08000008,tameside,2010,55.6
E08000009,trafford,2010,69.8
E08000010,wigan,2010,57.1
E08000011,knowsley,2010,40.8
E08000012,liverpool,2010,55.0
E08000013,st. helens,2010,55.7
E08000014,sefton,2010,59.5
E08000015,wirral,2010,64.1
E08000016,barnsley,2010,44.4
E08000017,doncaster,2010,54.4
E08000018,rotherham,2010,56.7
E08000019,sheffield,2010,49.4
E08000020,gateshead,2010,60.3
E08000021,newcastle upon tyne,2010,52.6
E08000022,north tyneside,2010,58.5
E08000023,south tyneside,2010,57.7
E08000024,sunderland,2010,55.4
E08000025,birmingham,2010,58.2
E08000026,coventry,2010,54.7
E08000027,dudley,2010,58.5
E08000028,sandwell,2010,50.0
E08000029,solihull,2010,61.7
E08000030,walsall,2010,56.3
E08000031,wolverhampton,2010,57.7
E08000032,bradford,2010,47.5
E08000033,calderdale,2010,59.4
E08000034,kirklees,2010,59.3
E08000035,leeds,2010,53.7
E08000036,wakefield,2010,57.4
E09000002,barking and dagenham,2010,57.2
E09000003,barnet,2010,68.8
E09000004,bexley,2010,63.3
E09000005,brent,2010,62.1
E09000006,bromley,2010,67.2
E09000007,camden,2010,60.2
E09000008,croydon,2010,61.0
E09000009,ealing,2010,57.3
E09000010,enfield,2010,59.5
E09000011,greenwich,2010,54.5
E09000012,hackney,2010,57.0
E09000013,hammersmith and fulham,2010,71.3
E09000014,haringey,2010,57.3
E09000015,harrow,2010,64.6
E09000016,havering,2010,63.9
E09000017,hillingdon,2010,59.5
E09000018,hounslow,2010,62.5
E09000019,islington,2010,49.4
E09000020,kensington and chelsea,2010,73.1
E09000021,kingston upon thames,2010,71.1
E09000022,lambeth,2010,61.1
E09000023,lewisham,2010,56.1
E09000024,merton,2010,59.8
E09000025,newham,2010,58.5
E09000026,redbridge,2010,68.5
E09000027,richmond upon thames,2010,63.2
E09000028,southwark,2010,58.0
E09000029,sutton,2010,74.7
E09000030,tower hamlets,2010,61.5
E09000031,waltham forest,2010,54.3
E09000032,wandsworth,2010,61.7
E09000033,westminster,2010,63.1
E10000002,buckinghamshire,2010,69.7
E10000003,cambridgeshire,2010,59.3
E10000006,cumbria,2010,57.0
E10000007,derbyshire,2010,58.4
E10000008,devon,2010,58.4
E10000009,dorset,2010,59.5
E10000011,east sussex,2010,58.4
E10000012,essex,2010,58.2
E10000013,gloucestershire,2010,62.9
E10000014,hampshire,2010,60.8
E10000015,hertfordshire,2010,66.9
E10000016,kent,2010,59.4
E10000017,lancashire,2010,60.1
E10000018,leicestershire,2010,56.9
E10000019,lincolnshire,2010,62.2
E10000020,norfolk,2010,55.4
E10000021,northamptonshire,2010,55.3
E10000023,north yorkshire,2010,63.2
E10000024,nottinghamshire,2010,57.6
E10000025,oxfordshire,2010,57.4
E10000027,somerset,2010,57.0
E10000028,staffordshire,2010,56.5
E10000029,suffolk,2010,54.7
E10000030,surrey,2010,63.5
E10000031,warwickshire,2010,60.7
E10000032,west sussex,2010,58.6
E10000034,worcestershire,2010,60.1
E06000001,hartlepool,2011,48.8
E06000002,middlesbrough,2011,47.6
E06000003,redcar and cleveland,2011,55.0
E06000004,stockton-on-tees,2011,54.3
E06000005,darlington,2011,62.2
E06000006,halton,2011,59.0
E06000007,warrington,2011,62.9
E06000008,blackburn with darwen,2011,57.0
E06000009,blackpool,2011,47.9
E06000010,"kingston upon hull, city of",2011,47.8
E06000011,east riding of yorkshire,2011,57.4
E06000012,north east lincolnshire,2011,61.1
E06000013,north lincolnshire,2011,56.3
E06000014,york,2011,62.7
E06000015,derby,2011,57.2
E06000016,leicester,2011,51.5
E06000017,rutland,2011,55.5
E06000018,nottingham,2011,49.6
E06000019,"herefordshire, county of",2011,56.5
E06000020,telford and wrekin,2011,61.3
E06000021,stoke-on-trent,2011,51.8
E06000022,bath and north east somerset,2011,57.5
E06000023,"bristol, city of",2011,51.6
E06000024,north somerset,2011,58.8
E06000025,south gloucestershire,2011,56.4
E06000026,plymouth,2011,57.5
E06000027,torbay,2011,60.5
E06000028,bournemouth,2011,60.7
E06000029,poole,2011,58.8
E06000030,swindon,2011,52.7
E06000031,peterborough,2011,49.3
E06000032,luton,2011,57.7
E06000033,southend-on-sea,2011,61.8
E06000034,thurrock,2011,59.2
E06000035,medway,2011,61.2
E06000036,bracknell forest,2011,61.4
E06000037,west berkshire,2011,57.2
E06000038,reading,2011,60.7
E06000039,slough,2011,66.1
E06000040,windsor and maidenhead,2011,63.5
E06000041,wokingham,2011,65.7
E06000042,milton keynes,2011,58.5
E06000043,brighton and hove,2011,56.4
E06000044,portsmouth,2011,52.4
E06000045,southampton,2011,54.4
E06000046,isle of wight,2011,44.5
E06000047,county durham,2011,62.5
E06000048,northumberland,2011,58.2
E06000049,cheshire east,2011,62.0
E06000050,cheshire west and chester,2011,59.8
E06000051,shropshire,2011,58.6
E06000052,cornwall,2011,55.4
E06000053,isles of scilly,2011,86.4
E06000054,wiltshire,2011,59.3
E06000055,bedford,2011,53.4
E06000056,central bedfordshire,2011,57.6
E08000001,bolton,2011,60.2
E08000002,bury,2011,63.0
E08000003,manchester,2011,53.2
E08000004,oldham,2011,55.9
E08000005,rochdale,2011,52.0
E08000006,salford,2011,52.0
E08000007,stockport,2011,65.0
E08000008,tameside,2011,56.8
E08000009,trafford,2011,72.4
E08000010,wigan,2011,64.2
E08000011,knowsley,2011,40.9
E08000012,liverpool,2011,56.8
E08000013,st. helens,2011,55.1
E08000014,sefton,2011,58.5
E08000015,wirral,2011,65.4
E08000016,barnsley,2011,45.3
E08000017,doncaster,2011,54.7
E08000018,rotherham,2011,60.0
E08000019,sheffield,2011,55.6
E08000020,gateshead,2011,60.6
E08000021,newcastle upon tyne,2011,55.9
E08000022,north tyneside,2011,61.9
E08000023,south tyneside,2011,58.2
E08000024,sunderland,2011,62.6
E08000025,birmingham,2011,60.1
E08000026,coventry,2011,58.7
E08000027,dudley,2011,56.1
E08000028,sandwell,2011,53.8
E08000029,solihull,2011,62.7
E08000030,walsall,2011,55.9
E08000031,wolverhampton,2011,56.7
E08000032,bradford,2011,52.4
E08000033,calderdale,2011,61.1
E08000034,kirklees,2011,62.0
E08000035,leeds,2011,55.0
E08000036,wakefield,2011,59.3
E09000002,barking and dagenham,2011,58.6
E09000003,barnet,2011,69.2
E09000004,bexley,2011,65.0
E09000005,brent,2011,58.7
E09000006,bromley,2011,68.9
E09000007,camden,2011,59.0
E09000008,croydon,2011,62.2
E09000009,ealing,2011,57.7
E09000010,enfield,2011,55.5
E09000011,greenwich,2011,63.1
E09000012,hackney,2011,60.2
E09000013,hammersmith and fulham,2011,65.6
E09000014,haringey,2011,58.6
E09000015,harrow,2011,63.6
E09000016,havering,2011,61.5
E09000017,hillingdon,2011,61.0
E09000018,hounslow,2011,61.8
E09000019,islington,2011,53.7
E09000020,kensington and chelsea,2011,79.6
E09000021,kingston upon thames,2011,70.1
E09000022,lambeth,2011,62.8
E09000023,lewisham,2011,56.0
E09000024,merton,2011,59.1
E09000025,newham,2011,61.9
E09000026,redbridge,2011,70.6
E09000027,richmond upon thames,2011,62.6
E09000028,southwark,2011,58.8
E09000029,sutton,2011,75.9
E09000030,tower hamlets,2011,61.9
E09000031,waltham forest,2011,52.6
E09000032,wandsworth,2011,58.3
E09000033,westminster,2011,70.0
E10000002,buckinghamshire,2011,69.7
E10000003,cambridgeshire,2011,57.5
E10000006,cumbria,2011,56.1
E10000007,derbyshire,2011,57.2
E10000008,devon,2011,58.5
E10000009,dorset,2011,54.1
E10000011,east sussex,2011,58.2
E10000012,essex,2011,59.0
E10000013,gloucestershire,2011,62.3
E10000014,hampshire,2011,58.5
E10000015,hertfordshire,2011,65.8
E10000016,kent,2011,61.3
E10000017,lancashire,2011,59.9
E10000018,leicestershire,2011,56.9
E10000019,lincolnshire,2011,62.1
E10000020,norfolk,2011,55.6
E10000021,northamptonshire,2011,56.2
E10000023,north yorkshire,2011,65.6
E10000024,nottinghamshire,2011,60.6
E10000025,oxfordshire,2011,57.9
E10000027,somerset,2011,56.5
E10000028,staffordshire,2011,58.7
E10000029,suffolk,2011,50.5
E10000030,surrey,2011,64.2
E10000031,warwickshire,2011,63.1
E10000032,west sussex,2011,57.5
E10000034,worcestershire,2011,60.7
E06000001,hartlepool,2012,59.0
E06000002,middlesbrough,2012,50.3
E06000003,redcar and cleveland,2012,55.1
E06000004,stockton-on-tees,2012,57.4
E06000005,darlington,2012,64.8
E06000006,halton,2012,62.5
E06000007,warrington,2012,65.7
E06000008,blackburn with darwen,2012,59.5
E06000009,blackpool,2012,46.1
E06000010,"kingston upon hull, city of",2012,50.0
E06000011,east riding of yorkshire,2012,61.0
E06000012,north east lincolnshire,2012,58.5
E06000013,north lincolnshire,2012,56.8
E06000014,york,2012,67.4
E06000015,derby,2012,55.6
E06000016,leicester,2012,54.8
E06000017,rutland,2012,67.2
E06000018,nottingham,2012,50.3
E06000019,"herefordshire, county of",2012,56.1
E06000020,telford and wrekin,2012,58.6
E06000021,stoke-on-trent,2012,49.9
E06000022,bath and north east somerset,2012,63.6
E06000023,"bristol, city of",2012,52.3
E06000024,north somerset,2012,58.5
E06000025,south gloucestershire,2012,56.7
E06000026,plymouth,2012,60.8
E06000027,torbay,2012,60.9
E06000028,bournemouth,2012,63.0
E06000029,poole,2012,62.3
E06000030,swindon,2012,56.4
E06000031,peterborough,2012,56.2
E06000032,luton,2012,58.7
E06000033,southend-on-sea,2012,61.9
E06000034,thurrock,2012,59.5
E06000035,medway,2012,60.9
E06000036,bracknell forest,2012,54.9
E06000037,west berkshire,2012,61.3
E06000038,reading,2012,63.6
E06000039,slough,2012,71.4
E06000040,windsor and maidenhead,2012,68.3
E06000041,wokingham,2012,70.6
E06000042,milton keynes,2012,61.3
E06000043,brighton and hove,2012,62.2
E06000044,portsmouth,2012,47.6
E06000045,southampton,2012,58.1
E06000046,isle of wight,2012,48.7
E06000047,county durham,2012,63.1
E06000048,northumberland,2012,55.2
E06000049,cheshire east,2012,62.4
E06000050,cheshire west and chester,2012,63.0
E06000051,shropshire,2012,60.4
E06000052,cornwall,2012,59.6
E06000053,isles of scilly,2012,81.0
E06000054,wiltshire,2012,61.0
E06000055,bedford,2012,59.7
E06000056,central bedfordshire,2012,57.7
E08000001,bolton,2012,60.7
E08000002,bury,2012,62.3
E08000003,manchester,2012,53.1
E08000004,oldham,2012,57.0
E08000005,rochdale,2012,56.2
E08000006,salford,2012,54.8
E08000007,stockport,2012,65.8
E08000008,tameside,2012,59.4
E08000009,trafford,2012,70.5
E08000010,wigan,2012,63.8
E08000011,knowsley,2012,43.7
E08000012,liverpool,2012,56.0
E08000013,st. helens,2012,55.5
E08000014,sefton,2012,60.9
E08000015,wirral,2012,66.2
E08000016,barnsley,2012,50.3
E08000017,doncaster,2012,56.6
E08000018,rotherham,2012,63.6
E08000019,sheffield,2012,57.3
E08000020,gateshead,2012,61.7
E08000021,newcastle upon tyne,2012,57.3
E08000022,north tyneside,2012,64.8
E08000023,south tyneside,2012,59.2
E08000024,sunderland,2012,60.1
E08000025,birmingham,2012,59.8
E08000026,coventry,2012,56.4
E08000027,dudley,2012,59.7
E08000028,sandwell,2012,54.1
E08000029,solihull,2012,67.1
E08000030,walsall,2012,58.7
E08000031,wolverhampton,2012,61.0
E08000032,bradford,2012,53.0
E08000033,calderdale,2012,65.7
E08000034,kirklees,2012,62.6
E08000035,leeds,2012,57.3
E08000036,wakefield,2012,66.3
E09000002,barking and dagenham,2012,60.2
E09000003,barnet,2012,71.5
E09000004,bexley,2012,66.0
E09000005,brent,2012,62.9
E09000006,bromley,2012,73.9
E09000007,camden,2012,60.4
E09000008,croydon,2012,64.4
E09000009,ealing,2012,60.9
E09000010,enfield,2012,63.2
E09000011,greenwich,2012,65.4
E09000012,hackney,2012,61.2
E09000013,hammersmith and fulham,2012,66.5
E09000014,haringey,2012,63.5
E09000015,harrow,2012,65.4
E09000016,havering,2012,63.7
E09000017,hillingdon,2012,61.6
E09000018,hounslow,2012,66.7
E09000019,islington,2012,63.5
E09000020,kensington and chelsea,2012,80.2
E09000021,kingston upon thames,2012,71.6
E09000022,lambeth,2012,65.9
E09000023,lewisham,2012,58.0
E09000024,merton,2012,62.6
E09000025,newham,2012,58.4
E09000026,redbridge,2012,70.2
E09000027,richmond upon thames,2012,68.3
E09000028,southwark,2012,65.2
E09000029,sutton,2012,77.0
E09000030,tower hamlets,2012,64.7
E09000031,waltham forest,2012,56.7
E09000032,wandsworth,2012,61.3
E09000033,westminster,2012,69.6
E10000002,buckinghamshire,2012,71.3
E10000003,cambridgeshire,2012,61.0
E10000006,cumbria,2012,56.5
E10000007,derbyshire,2012,59.1
E10000008,devon,2012,59.6
E10000009,dorset,2012,58.9
E10000011,east sussex,2012,59.9
E10000012,essex,2012,60.5
E10000013,gloucestershire,2012,61.8
E10000014,hampshire,2012,60.0
E10000015,hertfordshire,2012,66.3
E10000016,kent,2012,63.1
E10000017,lancashire,2012,61.2
E10000018,leicestershire,2012,59.5
E10000019,lincolnshire,2012,61.8
E10000020,norfolk,2012,54.4
E10000021,northamptonshire,2012,58.1
E10000023,north yorkshire,2012,65.4
E10000024,nottinghamshire,2012,63.4
E10000025,oxfordshire,2012,60.6
E10000027,somerset,2012,58.0
E10000028,staffordshire,2012,59.9
E10000029,suffolk,2012,54.6
E10000030,surrey,2012,67.5
E10000031,warwickshire,2012,65.3
E10000032,west sussex,2012,59.9
E10000034,worcestershire,2012,62.9
E06000001,hartlepool,2013,55.1
E06000002,middlesbrough,2013,47.2
E06000003,redcar and cleveland,2013,50.0
E06000004,stockton-on-tees,2013,55.1
E06000005,darlington,2013,56.9
E06000006,halton,2013,57.2
E06000007,warrington,2013,55.9
E06000008,blackburn with darwen,2013,54.6
E06000009,blackpool,2013,44.0
E06000010,"kingston upon hull, city of",2013,44.7
E06000011,east riding of yorkshire,2013,57.8
E06000012,north east lincolnshire,2013,55.4
E06000013,north lincolnshire,2013,54.7
E06000014,york,2013,62.3
E06000015,derby,2013,50.2
E06000016,leicester,2013,51.9
E06000017,rutland,2013,62.7
E06000018,nottingham,2013,44.6
E06000019,"herefordshire, county of",2013,58.7
E06000020,telford and wrekin,2013,51.7
E06000021,stoke-on-trent,2013,50.0
E06000022,bath and north east somerset,2013,61.9
E06000023,"bristol, city of",2013,55.2
E06000024,north somerset,2013,57.8
E06000025,south gloucestershire,2013,54.0
E06000026,plymouth,2013,53.1
E06000027,torbay,2013,56.6
E06000028,bournemouth,2013,61.1
E06000029,poole,2013,56.8
E06000030,swindon,2013,53.1
E06000031,peterborough,2013,50.0
E06000032,luton,2013,54.1
E06000033,southend-on-sea,2013,62.2
E06000034,thurrock,2013,58.0
E06000035,medway,2013,58.8
E06000036,bracknell forest,2013,57.0
E06000037,west berkshire,2013,61.1
E06000038,reading,2013,59.3
E06000039,slough,2013,69.3
E06000040,windsor and maidenhead,2013,62.3
E06000041,wokingham,2013,66.3
E06000042,milton keynes,2013,49.2
E06000043,brighton and hove,2013,53.6
E06000044,portsmouth,2013,50.8
E06000045,southampton,2013,51.0
E06000046,isle of wight,2013,45.2
